Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1751721264715,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264722,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264727,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264734,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264740,0000028F,false,1,8,80,00,00,01,00,27,10,00
1751721264744,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264748,00000292,false,1,8,00,00,00,00,22,1C,00,00
1751721264755,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264760,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264768,000002B0,false,1,8,00,00,00,00,00,00,10,00
1751721264777,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264787,0000050C,false,1,3,11,02,00
1751721264795,00000290,false,1,8,C0,20,20,20,20,20,20,20
1751721264807,00000285,false,1,3,00,00,00
1751721264813,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264819,00000291,false,1,8,87,20,20,20,20,20,20,20
1751721264824,00000274,false,1,8,00,00,00,00,00,00,55,AA
1751721264828,00000433,false,1,8,00,00,00,00,00,00,00,00
1751721264834,00000292,false,1,8,00,00,00,00,22,1C,00,00
1751721264860,0000039E,false,1,8,02,00,02,03,5B,E7,FF,FF
1751721264866,00000401,false,1,8,02,70,00,00,00,00,00,00
